metric,mean,std
cache_hit_rate,0.99628,0.33732816560486734
cache_hits,1999.8,706.0144767491034
cache_misses,197791.0,5294.458697218413
cpu_irq_max,0.0,0.0
cpu_irq_mean,0.0,0.0
cpu_irq_p50,0.0,0.0
cpu_irq_p75,0.0,0.0
cpu_irq_p90,0.0,0.0
cpu_irq_p99,0.0,0.0
cpu_irq_std,0.0,0.0
cpu_softirq_max,0.7466666666666667,0.20296650536196992
cpu_softirq_mean,0.09433333333333334,0.029441155024818616
cpu_softirq_p50,0.0,0.0
cpu_softirq_p75,0.09333333333333334,0.1720732268608305
cpu_softirq_p90,0.4,0.0
cpu_softirq_p99,0.56,0.1993091516489759
cpu_softirq_std,0.17466666666666666,0.02270247340821204
cpu_system_max,0.6466666666666667,0.3036937356243478
cpu_system_mean,0.05533333333333333,0.006814453874610598
cpu_system_p50,0.0,0.0
cpu_system_p75,0.0,0.0
cpu_system_p90,0.4,0.0
cpu_system_p99,0.41333333333333333,0.07302967433402216
cpu_system_std,0.142,0.009247553264475435
cpu_user_max,1.35,1.7537644240810717
cpu_user_mean,0.014666666666666666,0.009371024061116425
cpu_user_p50,0.0,0.0
cpu_user_p75,0.0,0.0
cpu_user_p90,0.0,0.0
cpu_user_p99,0.4266666666666667,0.10148325268098497
cpu_user_std,0.107,0.09738476833390464
max_core_usage_max,17.373333333333335,16.124300216482713
max_core_usage_mean,1.8243333333333331,0.4185663819419257
max_core_usage_p50,0.0,0.0
max_core_usage_p75,4.666666666666667,0.8840866447369844
max_core_usage_p90,4.939333333333334,0.0928451931176703
max_core_usage_p99,8.865666666666668,2.0299340626854296
max_core_usage_std,2.7796666666666665,0.696654484851973
mem_used_max,68.46333333333334,0.049013251785353186
mem_used_mean,68.44800000000001,0.0464164061364127
mem_used_p50,68.44666666666667,0.05074162634048972
mem_used_p75,68.44900000000001,0.050127423838547666
mem_used_p90,68.46000000000001,0.04982728791224087
mem_used_p99,68.46333333333334,0.049013251785353186
mem_used_std,0.010333333333333333,0.017710961603468637
